"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD"
"IND"," Total","CHN",2003,6,2567161.904
"IND"," Total","CHN",2004,6,4098514.365
"IND"," Total","CHN",2005,6,7183792.308
"IND"," Total","CHN",2006,6,7829167.581
"IND"," Total","CHN",2007,6,9491978.178
"IND"," Total","CHN",2008,6,10093926.793
"IND"," Total","CHN",2009,6,10370052.494
"IND"," Total","CHN",2010,6,17439991.278
"IND"," Total","CHN",2011,6,16717786.256
"IND"," Total","CHN",2012,6,14729316.558
"IND"," Total","CHN",2013,6,16416825.29
"IND"," Total","CHN",2014,6,13434250.522
"IND"," Total","CHN",2015,6,9576578.798
"IND"," Total","CHN",2016,6,8916072.981
"IND"," Total","CHN",2017,6,12495230.46
"IND"," Total","CHN",2018,6,16375997.27
"IND"," Total","CHN",2019,6,17278832.68
"IND"," Total","CHN",2020,6,19008266.739
"IND"," Total","CHN",2021,6,23036597.256
"IND"," Total","CHN",2022,6,15084400.601
"IND"," Total","CHN",2023,6,16245421.867
"IND"," Total","CHN",2024,6,14899427.45
