"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD"
"IND"," Total","ABW",2004,5,18.435
"IND"," Total","ABW",2008,5,15.278
"IND"," Total","ABW",2009,5,3.477
"IND"," Total","ABW",2011,5,1886.196
"IND"," Total","ABW",2012,5,179.596
"IND"," Total","ABW",2013,5,40.392
"IND"," Total","ABW",2014,5,42.852
"IND"," Total","ABW",2015,5,250.696
"IND"," Total","ABW",2016,5,4235.764
"IND"," Total","ABW",2017,5,397.874
"IND"," Total","ABW",2018,5,476.65
"IND"," Total","ABW",2019,5,380.505
"IND"," Total","ABW",2020,5,538.442
"IND"," Total","ABW",2021,5,2004.552
"IND"," Total","ABW",2022,5,674.416
"IND"," Total","ABW",2023,5,754.778
"IND"," Total","ABW",2024,5,621.523
"IND"," Total","AFG",2003,5,26913.626
"IND"," Total","AFG",2004,5,53232.989
"IND"," Total","AFG",2005,5,54385.499
"IND"," Total","AFG",2006,5,46610.782
"IND"," Total","AFG",2007,5,76051.826
"IND"," Total","AFG",2008,5,133089.093
"IND"," Total","AFG",2009,5,120522.284
"IND"," Total","AFG",2010,5,143652.14
"IND"," Total","AFG",2011,5,120110.694
"IND"," Total","AFG",2012,5,79744.483
"IND"," Total","AFG",2013,5,213196.562
"IND"," Total","AFG",2014,5,243720.758
"IND"," Total","AFG",2015,5,317719.545
"IND"," Total","AFG",2016,5,282293.666
"IND"," Total","AFG",2017,5,413367.829
"IND"," Total","AFG",2018,5,424474.583
"IND"," Total","AFG",2019,5,494771.924
"IND"," Total","AFG",2020,5,511431.435
"IND"," Total","AFG",2021,5,560795.841
"IND"," Total","AFG",2022,5,414752.842
"IND"," Total","AFG",2023,5,667422.089
"IND"," Total","AFG",2024,5,664890.444
"IND"," Total","AGO",2004,5,660.762
"IND"," Total","AGO",2005,5,2830.007
"IND"," Total","AGO",2006,5,183066.968
"IND"," Total","AGO",2007,5,920236.282
"IND"," Total","AGO",2008,5,1289284.732
"IND"," Total","AGO",2009,5,3394217.299
"IND"," Total","AGO",2010,5,4838456.716
"IND"," Total","AGO",2011,5,6005484.849
"IND"," Total","AGO",2012,5,8020442.181
"IND"," Total","AGO",2013,5,6798300.153
"IND"," Total","AGO",2014,5,5641667.702
"IND"," Total","AGO",2015,5,3169598.58
"IND"," Total","AGO",2016,5,2001936.255
"IND"," Total","AGO",2017,5,4118279.132
"IND"," Total","AGO",2018,5,4337925.218
"IND"," Total","AGO",2019,5,3799563.165
"IND"," Total","AGO",2020,5,2022432.689
"IND"," Total","AGO",2021,5,2315947.568
"IND"," Total","AGO",2022,5,3772433.673
"IND"," Total","AGO",2023,5,3907982.649
"IND"," Total","AGO",2024,5,6016131.156
"IND"," Total","AIA",2010,5,7.07
"IND"," Total","AIA",2011,5,130.985
"IND"," Total","AIA",2013,5,0.227
"IND"," Total","AIA",2014,5,66.816
"IND"," Total","AIA",2015,5,5.985
"IND"," Total","AIA",2016,5,1.141
"IND"," Total","AIA",2017,5,132.754
"IND"," Total","AIA",2018,5,233.188
"IND"," Total","AIA",2019,5,28.876
"IND"," Total","AIA",2020,5,180.601
"IND"," Total","AIA",2021,5,95.267
"IND"," Total","AIA",2022,5,28.383
"IND"," Total","AIA",2023,5,120.113
"IND"," Total","AIA",2024,5,17.546
"IND"," Total","ALB",2003,5,15.243
"IND"," Total","ALB",2004,5,5.647
"IND"," Total","ALB",2005,5,220.884
"IND"," Total","ALB",2006,5,36.748
"IND"," Total","ALB",2007,5,123.895
"IND"," Total","ALB",2008,5,587.972
"IND"," Total","ALB",2009,5,269.933
"IND"," Total","ALB",2010,5,66.847
"IND"," Total","ALB",2011,5,88086.248
"IND"," Total","ALB",2012,5,43202.089
"IND"," Total","ALB",2013,5,162521.062
"IND"," Total","ALB",2014,5,98055.544
"IND"," Total","ALB",2015,5,12282.56
"IND"," Total","ALB",2016,5,8542.579
"IND"," Total","ALB",2017,5,36458.413
"IND"," Total","ALB",2018,5,14060.294
"IND"," Total","ALB",2019,5,61657.463
"IND"," Total","ALB",2020,5,4494.189
"IND"," Total","ALB",2021,5,30613.07
"IND"," Total","ALB",2022,5,13250.295
"IND"," Total","ALB",2023,5,8451.789
"IND"," Total","ALB",2024,5,8287.857
"IND"," Total","AND",2004,5,24.793
"IND"," Total","AND",2006,5,16.886
"IND"," Total","AND",2007,5,9.912
"IND"," Total","AND",2008,5,94.055
"IND"," Total","AND",2009,5,4.044
"IND"," Total","AND",2010,5,7.113
"IND"," Total","AND",2011,5,34.052
"IND"," Total","AND",2012,5,24.822
"IND"," Total","AND",2013,5,0.281
"IND"," Total","AND",2014,5,14.152
"IND"," Total","AND",2015,5,5108.356
"IND"," Total","AND",2016,5,88.356
"IND"," Total","AND",2017,5,0.778
"IND"," Total","AND",2018,5,39.463
"IND"," Total","AND",2019,5,34.45
"IND"," Total","AND",2020,5,6.476
"IND"," Total","AND",2022,5,0.197
"IND"," Total","AND",2023,5,60.891
"IND"," Total","AND",2024,5,87.819
"IND"," Total","ANT",2003,5,112.73
"IND"," Total","ANT",2004,5,92.047
"IND"," Total","ANT",2005,5,26.132
"IND"," Total","ANT",2006,5,885.807
"IND"," Total","ANT",2007,5,1010.162
"IND"," Total","ANT",2008,5,1209.429
"IND"," Total","ANT",2009,5,1077.209
"IND"," Total","ANT",2010,5,989.715
"IND"," Total","ARE",2003,5,1523660.553
"IND"," Total","ARE",2004,5,3816625.478
"IND"," Total","ARE",2005,5,5033595.448
"IND"," Total","ARE",2006,5,7507380.301
