"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD"
"IND"," Total","WLD",2003,5,72430524.382
"IND"," Total","WLD",2004,5,98981129.472
"IND"," Total","WLD",2005,5,140861666.918
"IND"," Total","WLD",2006,5,178212440.308
"IND"," Total","WLD",2007,5,218645293.931
"IND"," Total","WLD",2008,5,315712105.614
"IND"," Total","WLD",2009,5,266401552.908
"IND"," Total","WLD",2010,5,350029386.927
"IND"," Total","WLD",2011,5,462402790.771
"IND"," Total","WLD",2012,5,488976378.496
"IND"," Total","WLD",2013,5,466045567.333
"IND"," Total","WLD",2014,5,459369463.603
"IND"," Total","WLD",2015,5,390744731.405
"IND"," Total","WLD",2016,5,356704792.107
"IND"," Total","WLD",2017,5,444052353.836
"IND"," Total","WLD",2018,5,507615733.027
"IND"," Total","WLD",2019,5,478883729.111
"IND"," Total","WLD",2020,5,367980363.48
"IND"," Total","WLD",2021,5,570402004.492
"IND"," Total","WLD",2022,5,732565993.393
"IND"," Total","WLD",2023,5,664402850.588
"IND"," Total","WLD",2024,5,690842173.096
