,HSCode,Year,Commodity,Vol (Imports),Gowth
0,01,2019,LIVE ANIMALS.,0.01,5804.52
1,03,2019,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.05,117.61
2,05,2019,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",4.71,90.25
3,06,2019,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3.75,-0.48
4,07,2019,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,54.85,9.45
5,08,2019,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,12.37,89.38
6,09,2019,"COFFEE, TEA, MATE AND SPICES.",9.39,-9.09
7,10,2019,CEREALS.,0.05,-74.2
8,11,2019,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,15.7,-13.75
9,12,2019,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.51,-27.71
10,13,2019,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",22.93,35.93
11,14,2019,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,52.36,71.86
12,15,2019,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,16.23,-18.4
13,16,2019,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.05,56.63
14,17,2019,SUGARS AND SUGAR CONFECTIONERY.,7.31,-13.67
15,18,2019,COCOA AND COCOA PREPARATIONS.,1.16,-3.78
16,19,2019,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.04,25.06
17,20,2019,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",34.06,32.38
18,21,2019,MISCELLANEOUS EDIBLE PREPARATIONS.,19.59,21.48
19,22,2019,"BEVERAGES, SPIRITS AND VINEGAR.",2.11,385.25
20,23,2019,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,63.41,14.4
21,24,2019,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,5.7,321.27
22,25,2019,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",138.9,-15.71
23,26,2019,"ORES, SLAG AND ASH.",31.17,-11.72
24,27,2019,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",506.61,-51.63
25,28,2019,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",746.72,-28.9
26,29,2019,ORGANIC CHEMICALS,7970.46,-7.28
27,30,2019,PHARMACEUTICAL PRODUCTS,166.19,12.01
28,31,2019,FERTILISERS.,1820.88,-11.32
29,32,2019,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",567.63,8.14
30,33,2019,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",169.39,16.95
31,34,2019,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",106.63,-4.74
32,35,2019,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,149.19,16.12
33,36,2019,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.01,-82.28
34,37,2019,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,26.49,18.42
35,38,2019,MISCELLANEOUS CHEMICAL PRODUCTS.,1205.07,-6.63
