,Country,Year,Value(Exports),Share,Growth
0,AFGHANISTAN,2020,997.58,0.3183,39.43
1,ALBANIA,2020,44.12,0.0141,18.97
2,ALGERIA,2020,611.02,0.195,-35.02
3,AMERI SAMOA,2020,0.13,0.0,401.64
4,ANDORRA,2020,0.08,0.0,-76.41
5,ANGOLA,2020,285.1,0.091,0.97
6,ANGUILLA,2020,0.04,0.0,-71.59
7,ANTARTICA,2020,0.02,0.0,566.86
8,ANTIGUA,2020,2.19,0.0007,-19.19
9,ARGENTINA,2020,763.24,0.2436,35.58
10,ARMENIA,2020,40.49,0.0129,56.08
11,ARUBA,2020,9.87,0.0031,2.43
12,AUSTRALIA,2020,2852.14,0.9102,-18.98
13,AUSTRIA,2020,455.59,0.1454,-5.71
14,AZERBAIJAN,2020,53.21,0.017,22.42
15,BAHAMAS,2020,60.48,0.0193,898.73
16,BAHARAIN IS,2020,559.09,0.1784,-24.66
17,BANGLADESH PR,2020,8200.75,2.617,-10.96
18,BARBADOS,2020,12.76,0.0041,2.65
19,BELARUS,2020,55.77,0.0178,0.1
20,BELGIUM,2020,5809.88,1.8541,-13.67
21,BELIZE,2020,14.27,0.0046,-15.97
22,BENIN,2020,326.62,0.1042,-23.49
23,BERMUDA,2020,2.48,0.0008,-21.44
24,BHUTAN,2020,738.6,0.2357,12.36
25,BOLIVIA,2020,113.46,0.0362,8.36
26,BOSNIA-HRZGOVIN,2020,15.32,0.0049,-10.32
27,BOTSWANA,2020,178.74,0.057,0.24
28,BR VIRGN IS,2020,0.49,0.0002,-95.4
29,BRAZIL,2020,3967.39,1.2661,4.39
30,BRUNEI,2020,57.62,0.0184,2.54
31,BULGARIA,2020,158.9,0.0507,-25.2
32,BURKINA FASO,2020,153.94,0.0491,-15.15
33,BURUNDI,2020,58.47,0.0187,20.92
34,C AFRI REP,2020,55.63,0.0178,107.6
35,CAMBODIA,2020,188.12,0.06,-4.01
36,CAMEROON,2020,228.45,0.0729,28.16
37,CANADA,2020,2851.79,0.9101,0.01
38,CAPE VERDE IS,2020,2.17,0.0007,36.23
39,CAYMAN IS,2020,6.58,0.0021,50.66
40,CHAD,2020,58.69,0.0187,56.67
41,CHILE,2020,793.43,0.2532,-19.84
42,CHINA P RP,2020,16612.75,5.3015,-0.83
43,CHRISTMAS IS.,2020,0.0,0.0,
44,COLOMBIA,2020,1043.41,0.333,-6.58
45,COMOROS,2020,18.88,0.006,-2.13
46,CONGO D. REP.,2020,352.77,0.1126,16.45
47,CONGO P REP,2020,112.91,0.036,-15.03
48,COOK IS,2020,0.32,0.0001,18.73
49,COSTA RICA,2020,126.63,0.0404,-7.0
50,COTE D' IVOIRE,2020,414.67,0.1323,-7.57
51,CROATIA,2020,146.97,0.0469,-4.44
52,CUBA,2020,47.51,0.0152,35.73
53,CYPRUS,2020,443.28,0.1415,527.41
54,CZECH REPUBLIC,2020,496.35,0.1584,15.66
55,DENMARK,2020,733.96,0.2342,-1.69
56,DJIBOUTI,2020,316.01,0.1008,-60.03
57,DOMINIC REP,2020,213.32,0.0681,-1.15
58,DOMINICA,2020,2.17,0.0007,67.58
59,ECUADOR,2020,253.0,0.0807,-15.09
60,EGYPT A RP,2020,2504.23,0.7992,-13.24
61,EL SALVADOR,2020,79.34,0.0253,0.86
62,EQUTL GUINEA,2020,10.92,0.0035,-8.13
63,ERITREA,2020,5.92,0.0019,-34.5
64,ESTONIA,2020,65.44,0.0209,1.75
65,ETHIOPIA,2020,798.31,0.2548,4.21
66,FALKLAND IS,2020,0.08,0.0,5669.0
67,FAROE IS.,2020,0.91,0.0003,-69.26
68,FIJI IS,2020,55.7,0.0178,-8.38
69,FINLAND,2020,268.63,0.0857,4.88
70,FR GUIANA,2020,0.98,0.0003,-48.43
71,FR POLYNESIA,2020,6.04,0.0019,9.87
72,FRANCE,2020,5097.81,1.6268,-2.58
73,GABON,2020,45.55,0.0145,-17.44
74,GAMBIA,2020,132.33,0.0422,-15.51
75,GEORGIA,2020,82.77,0.0264,-25.02
76,GERMANY,2020,8290.9,2.6458,-6.87
77,GHANA,2020,617.42,0.197,-13.93
78,GIBRALTAR,2020,629.14,0.2008,9.39
79,GREECE,2020,445.59,0.1422,-11.48
80,GREENLAND,2020,0.03,0.0,693.03
81,GRENADA,2020,2.79,0.0009,-25.98
82,GUADELOUPE,2020,7.8,0.0025,128.06
83,GUAM,2020,0.91,0.0003,38.21
84,GUATEMALA,2020,291.32,0.093,-4.6
85,GUERNSEY,2020,0.0,0.0,109.73
86,GUINEA,2020,354.82,0.1132,-12.36
87,GUINEA BISSAU,2020,8.99,0.0029,-16.42
88,GUYANA,2020,25.21,0.008,-15.01
89,HAITI,2020,65.51,0.0209,-17.44
90,HEARD MACDONALD,2020,0.0,,
91,HONDURAS,2020,185.34,0.0591,11.17
92,HONG KONG,2020,10967.12,3.4998,-15.65
93,HUNGARY,2020,423.94,0.1353,-7.45
94,ICELAND,2020,10.05,0.0032,-67.36
95,INDONESIA,2020,4129.33,1.3178,-21.73
96,IRAN,2020,3373.62,1.0766,-3.91
97,IRAQ,2020,1878.17,0.5994,5.0
98,IRELAND,2020,533.69,0.1703,0.59
99,ISRAEL,2020,3363.1,1.0732,-9.55
100,ITALY,2020,4970.81,1.5863,-11.13
101,JAMAICA,2020,56.76,0.0181,2.41
102,JAPAN,2020,4520.25,1.4425,-7.02
103,JERSEY,2020,0.0,0.0,
104,JORDAN,2020,960.66,0.3066,65.97
105,KAZAKHSTAN,2020,202.59,0.0646,41.54
106,KENYA,2020,2108.58,0.6729,1.77
107,KIRIBATI REP,2020,0.39,0.0001,4.49
108,KOREA DP RP,2020,8.97,0.0029,-66.75
109,KOREA RP,2020,4845.15,1.5462,2.98
110,KUWAIT,2020,1286.56,0.4106,-3.55
111,KYRGHYZSTAN,2020,29.13,0.0093,-2.96
112,LAO PD RP,2020,25.08,0.008,-36.31
113,LATVIA,2020,119.25,0.0381,3.23
114,LEBANON,2020,203.97,0.0651,-24.08
115,LESOTHO,2020,40.78,0.013,33.88
116,LIBERIA,2020,219.52,0.0701,22.77
117,LIBYA,2020,184.4,0.0588,17.63
118,LIECHTENSTEIN,2020,4.36,0.0014,28.22
119,LITHUANIA,2020,110.76,0.0353,-13.04
120,LUXEMBOURG,2020,20.34,0.0065,-32.35
121,MACAO,2020,6.28,0.002,495.18
122,MACEDONIA,2020,22.61,0.0072,15.68
123,MADAGASCAR,2020,301.73,0.0963,53.65
124,MALAWI,2020,185.09,0.0591,-8.17
125,MALAYSIA,2020,6364.66,2.0311,-1.11
126,MALDIVES,2020,226.57,0.0723,1.59
127,MALI,2020,146.14,0.0466,11.82
128,MALTA,2020,208.2,0.0664,-9.29
129,MARSHALL ISLAND,2020,32.53,0.0104,10060.82
130,MARTINIQUE,2020,3.81,0.0012,6.47
131,MAURITANIA,2020,83.83,0.0268,-27.48
132,MAURITIUS,2020,662.13,0.2113,-42.96
133,MAYOTTE,2020,3.13,0.001,12.31
134,MEXICO,2020,3623.71,1.1564,-5.67
