,Country,Year,Value(Imports),Share,Growth
0,AFGHANISTAN,2020,529.84,0.1116,21.68
1,ALBANIA,2020,47.51,0.01,110.06
2,ALGERIA,2020,1996.76,0.4206,17.67
3,AMERI SAMOA,2020,3.08,0.0006,617139.67
4,ANDORRA,2020,0.03,0.0,-13.17
5,ANGOLA,2020,3649.02,0.7687,-9.4
6,ANGUILLA,2020,0.1,0.0,-49.51
7,ANTARTICA,2020,0.08,0.0,138.28
8,ANTIGUA,2020,0.2,0.0,30.0
9,ARGENTINA,2020,2327.26,0.4902,19.04
10,ARMENIA,2020,1.56,0.0003,71.55
11,ARUBA,2020,0.3,0.0001,-44.38
12,AUSTRALIA,2020,9782.22,2.0607,-25.5
13,AUSTRIA,2020,629.74,0.1327,-12.1
14,AZERBAIJAN,2020,273.91,0.0577,85.23
15,BAHAMAS,2020,14.7,0.0031,-62.52
16,BAHARAIN IS,2020,421.5,0.0888,-21.89
17,BANGLADESH PR,2020,1264.74,0.2664,21.05
18,BARBADOS,2020,1.48,0.0003,-15.09
19,BELARUS,2020,147.44,0.0311,-35.1
20,BELGIUM,2020,8879.46,1.8705,-15.19
21,BELIZE,2020,0.96,0.0002,46.26
22,BENIN,2020,358.94,0.0756,-4.49
23,BERMUDA,2020,0.0,0.0,-100.0
24,BHUTAN,2020,405.73,0.0855,9.37
25,BOLIVIA,2020,845.88,0.1782,-0.74
26,BOSNIA-HRZGOVIN,2020,3.33,0.0007,35.49
27,BOTSWANA,2020,744.0,0.1567,-23.65
28,BR VIRGN IS,2020,8.57,0.0018,-49.08
29,BRAZIL,2020,3074.97,0.6478,-30.22
30,BRUNEI,2020,586.28,0.1235,-0.82
31,BULGARIA,2020,144.06,0.0303,14.64
32,BURKINA FASO,2020,542.67,0.1143,-38.42
33,BURUNDI,2020,3.83,0.0008,-15.92
34,C AFRI REP,2020,0.56,0.0001,-72.15
35,CAMBODIA,2020,46.69,0.0098,9.53
36,CAMEROON,2020,676.36,0.1425,97.07
37,CANADA,2020,3880.33,0.8174,10.38
38,CAPE VERDE IS,2020,2.04,0.0004,-29.71
39,CAYMAN IS,2020,1.44,0.0003,511.55
40,CHAD,2020,270.75,0.057,-43.14
41,CHILE,2020,1175.67,0.2477,-5.0
42,CHINA P RP,2020,65260.75,13.7475,-7.19
43,CHRISTMAS IS.,2020,0.01,0.0,
44,COCOS IS,2020,0.0,,
45,COLOMBIA,2020,810.95,0.1708,-23.13
46,COMOROS,2020,19.65,0.0041,-39.34
47,CONGO D. REP.,2020,32.13,0.0068,68.96
48,CONGO P REP,2020,587.5,0.1238,44.83
49,COOK IS,2020,0.0,,
50,COSTA RICA,2020,48.71,0.0103,-3.66
51,COTE D' IVOIRE,2020,454.88,0.0958,-24.57
52,CROATIA,2020,57.18,0.012,46.91
53,CUBA,2020,3.53,0.0007,-7.1
54,CYPRUS,2020,74.43,0.0157,-81.1
55,CZECH REPUBLIC,2020,299.42,0.0631,15.68
56,DENMARK,2020,632.4,0.1332,17.7
57,DJIBOUTI,2020,19.54,0.0041,23.48
58,DOMINIC REP,2020,361.11,0.0761,-36.26
59,DOMINICA,2020,0.25,0.0001,-20.23
60,ECUADOR,2020,361.6,0.0762,64.92
61,EGYPT A RP,2020,2031.38,0.4279,21.07
62,EL SALVADOR,2020,3.2,0.0007,-23.66
63,EQUTL GUINEA,2020,972.88,0.2049,53.42
64,ERITREA,2020,0.0,0.0,-91.31
