Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_29,2019,4.18,-41.52
ALBANIA,HSCode_29,2019,0.32,-62.19
ALGERIA,HSCode_29,2019,36.3,-35.77
ANGOLA,HSCode_29,2019,0.93,-41.72
ANTIGUA,HSCode_29,2019,0.0,
ARGENTINA,HSCode_29,2019,84.19,10.6
ARMENIA,HSCode_29,2019,0.14,-26.39
AUSTRALIA,HSCode_29,2019,45.35,-3.0
AUSTRIA,HSCode_29,2019,42.72,-4.49
AZERBAIJAN,HSCode_29,2019,0.1,-18.8
BAHAMAS,HSCode_29,2019,0.0,
BAHARAIN IS,HSCode_29,2019,3.56,8.46
BANGLADESH PR,HSCode_29,2019,278.84,10.35
BARBADOS,HSCode_29,2019,0.19,83.99
BELARUS,HSCode_29,2019,7.93,1.3
BELGIUM,HSCode_29,2019,457.93,-4.17
BELIZE,HSCode_29,2019,0.02,21980.56
BENIN,HSCode_29,2019,0.5,9.28
BHUTAN,HSCode_29,2019,0.69,-14.79
BOLIVIA,HSCode_29,2019,2.29,10.56
BOSNIA-HRZGOVIN,HSCode_29,2019,1.1,-17.67
BOTSWANA,HSCode_29,2019,0.01,7.84
BR VIRGN IS,HSCode_29,2019,,
BRAZIL,HSCode_29,2019,494.88,-14.09
BRUNEI,HSCode_29,2019,0.69,177.18
BULGARIA,HSCode_29,2019,55.86,11.6
BURKINA FASO,HSCode_29,2019,0.04,-65.47
BURUNDI,HSCode_29,2019,0.87,92.97
C AFRI REP,HSCode_29,2019,0.0,232.27
CAMBODIA,HSCode_29,2019,5.79,191.84
CAMEROON,HSCode_29,2019,3.13,46.42
CANADA,HSCode_29,2019,195.48,-11.54
CAPE VERDE IS,HSCode_29,2019,0.01,15.84
CAYMAN IS,HSCode_29,2019,0.0,
CHAD,HSCode_29,2019,0.01,-93.79
CHILE,HSCode_29,2019,30.29,1.04
CHINA P RP,HSCode_29,2019,2702.46,-16.83
COLOMBIA,HSCode_29,2019,87.71,4.66
COMOROS,HSCode_29,2019,0.0,-17.14
CONGO D. REP.,HSCode_29,2019,8.54,7.03
CONGO P REP,HSCode_29,2019,0.37,-49.39
COSTA RICA,HSCode_29,2019,3.84,-19.87
COTE D' IVOIRE,HSCode_29,2019,6.81,27.23
CROATIA,HSCode_29,2019,65.86,8.49
CUBA,HSCode_29,2019,4.2,-32.46
CYPRUS,HSCode_29,2019,47.9,38.22
CZECH REPUBLIC,HSCode_29,2019,46.2,16.34
DENMARK,HSCode_29,2019,14.6,1.14
DJIBOUTI,HSCode_29,2019,0.57,-10.64
DOMINIC REP,HSCode_29,2019,4.44,13.91
DOMINICA,HSCode_29,2019,0.12,11.43
ECUADOR,HSCode_29,2019,7.23,-12.67
EGYPT A RP,HSCode_29,2019,246.52,0.28
EL SALVADOR,HSCode_29,2019,6.76,46.57
EQUTL GUINEA,HSCode_29,2019,0.0,-99.87
ERITREA,HSCode_29,2019,0.0,-98.77
ESTONIA,HSCode_29,2019,2.9,41.48
ETHIOPIA,HSCode_29,2019,9.06,-31.83
FIJI IS,HSCode_29,2019,0.73,139.12
FINLAND,HSCode_29,2019,17.81,-14.22
FR GUIANA,HSCode_29,2019,,
FR POLYNESIA,HSCode_29,2019,0.01,
FRANCE,HSCode_29,2019,271.18,11.23
GABON,HSCode_29,2019,0.82,1808.8
GAMBIA,HSCode_29,2019,0.21,-19.39
GEORGIA,HSCode_29,2019,3.28,-18.11
GERMANY,HSCode_29,2019,706.45,-2.41
GHANA,HSCode_29,2019,18.57,-26.38
GREECE,HSCode_29,2019,60.34,-14.55
GRENADA,HSCode_29,2019,0.0,-78.58
GUADELOUPE,HSCode_29,2019,,
GUAM,HSCode_29,2019,0.08,171.25
GUATEMALA,HSCode_29,2019,13.9,19.58
GUINEA,HSCode_29,2019,0.31,46.61
GUINEA BISSAU,HSCode_29,2019,0.0,-99.4
GUYANA,HSCode_29,2019,0.48,-13.46
HAITI,HSCode_29,2019,0.27,16.64
HONDURAS,HSCode_29,2019,1.58,13.66
HONG KONG,HSCode_29,2019,29.3,-6.14
HUNGARY,HSCode_29,2019,92.73,-3.07
ICELAND,HSCode_29,2019,0.4,138.77
INDONESIA,HSCode_29,2019,547.47,-13.06
IRAN,HSCode_29,2019,323.13,35.35
IRAQ,HSCode_29,2019,11.2,26.44
IRELAND,HSCode_29,2019,202.14,16.79
ISRAEL,HSCode_29,2019,101.89,-23.38
ITALY,HSCode_29,2019,358.84,-1.51
JAMAICA,HSCode_29,2019,0.63,8.2
JAPAN,HSCode_29,2019,559.27,6.17
JORDAN,HSCode_29,2019,53.75,-9.12
KAZAKHSTAN,HSCode_29,2019,1.93,-29.7
KENYA,HSCode_29,2019,46.44,-10.15
KOREA DP RP,HSCode_29,2019,0.92,-46.12
KOREA RP,HSCode_29,2019,439.37,0.73
KUWAIT,HSCode_29,2019,43.02,61.1
KYRGHYZSTAN,HSCode_29,2019,0.12,57.05
LAO PD RP,HSCode_29,2019,0.31,28.97
LATVIA,HSCode_29,2019,3.36,0.16
LEBANON,HSCode_29,2019,21.39,4.5
LESOTHO,HSCode_29,2019,,
LIBERIA,HSCode_29,2019,0.43,-34.59
LIBYA,HSCode_29,2019,1.15,260.26
LITHUANIA,HSCode_29,2019,5.4,-34.48
LUXEMBOURG,HSCode_29,2019,0.02,7212.7
MACAO,HSCode_29,2019,0.25,-26.1
MACEDONIA,HSCode_29,2019,9.98,6.8
MADAGASCAR,HSCode_29,2019,1.21,-33.63
MALAWI,HSCode_29,2019,1.95,15.96
MALAYSIA,HSCode_29,2019,560.84,5.94
MALDIVES,HSCode_29,2019,0.1,-30.95
MALI,HSCode_29,2019,0.14,0.21
